upper,lower,mean,var,mid_week,phe_region,alpha,beta
0.7717684741399705,0.6891638754130204,0.7345931969222428,4.3199463591804847e-4,2020-12-13,East of England,330.79896948901694,119.51689359681048
0.7733755951516901,0.7043458473572144,0.7417980944314881,3.0160270729102863e-4,2020-12-20,East of England,470.33925172116255,163.713673531536
0.7505939735961967,0.6695865655844455,0.7130234714718271,4.147452172263937e-4,2020-12-27,East of England,351.06819093539895,141.2973551955328
0.7278830198315942,0.6266662336387266,0.6804366449935885,6.449137221758238e-4,2021-01-03,East of England,228.73928230367886,107.42615497348922
0.6961776940400077,0.5762070888051061,0.6387664946745061,8.989002661623914e-4,2021-01-10,East of England,163.32986510986063,92.36586481894228
0.6668685997993202,0.5228175927152823,0.5974125447654253,0.0013137226911784864,2021-01-17,East of England,108.7743504002004,73.30142178317546
0.6541193179846053,0.49928805971130935,0.5798119249499417,0.0015305459868190027,2021-01-24,East of England,91.71379658481034,66.46473103469056
0.6411551871280609,0.4787526755104859,0.5625082167465263,0.0016808066785806964,2021-01-31,East of England,81.79626655647748,63.61719429850584
0.6333084328474677,0.46462728951650983,0.5516508093343295,0.001802813196744495,2021-02-07,East of England,75.13062463831386,61.061733583680045
0.6339147161189885,0.46199758600420804,0.5505033375726268,0.0018783638172559008,2021-02-14,East of England,71.97097861769313,58.76570126337688
0.6498890819850123,0.48315846491945696,0.5697520919426747,0.0017772333518066535,2021-02-21,East of England,78.01642627113762,58.91405169363165
0.6431110952694807,0.48273507339636496,0.5660034970377726,0.0016301481329444043,2021-02-28,East of England,84.7238538707075,64.96400903847412
0.6357331890824125,0.4667726866883636,0.5535600142467558,0.0018248857988329057,2021-03-07,East of England,74.4111417799694,60.011757029336145
0.6698108272408928,0.5081632418309048,0.5928253355304869,0.0016752865752071365,2021-03-14,East of England,84.82433913940847,58.26053604310009
0.6922974765600175,0.5524031344659543,0.6261504789304783,0.0012389521896850604,2021-03-21,East of England,117.67792752538543,70.26080523161892
0.682405484144633,0.5464990560526558,0.6175064930262955,0.0011676333743811406,2021-03-28,East of England,124.29347599692903,76.98938888079495
0.6603103794715389,0.5121419316275468,0.5892100284373837,0.0013939793942251621,2021-04-04,East of England,101.71741044266798,70.91612519559663
0.6744961940012824,0.5195273210358757,0.6004211339522509,0.0015251005910107808,2021-04-11,East of England,93.85262344920176,62.458702288818444
0.6800682507581881,0.5392432265769497,0.6133870379488158,0.0012644974100344663,2021-04-18,East of England,114.420992663552,72.11863987609077
0.6723021324188775,0.5249875642081973,0.6014411572781256,0.0013690672503461837,2021-04-25,East of England,104.70476224236535,69.38502355848652
0.6856890817657105,0.5410597805266208,0.6170961009227697,0.0013243510812411211,2021-05-02,East of England,109.484157298804,67.93416885021517
0.6954471171845674,0.5593538337287364,0.6307139928847343,0.0011645445444692635,2021-05-09,East of England,125.514761790939,73.48948293314683
0.7094982403075898,0.5811194606760951,0.6490850590866936,0.001037112913222713,2021-05-16,East of England,141.90479508284375,76.71800804023746
0.7179434496806798,0.5998628846839869,0.6628135171553642,8.803022077080526e-4,2021-05-23,East of England,167.6127596856666,85.26796067896953
0.705994366200448,0.5805110164457054,0.646648666631345,9.916708546436272e-4,2020-05-31,London,148.34981397048085,81.06350059381748
0.705994366200448,0.5805110164457054,0.646648666631345,9.916708546436272e-4,2020-06-07,London,148.34981397048085,81.06350059381748
0.705994366200448,0.5805110164457054,0.646648666631345,9.916708546436272e-4,2020-06-14,London,148.34981397048085,81.06350059381748
0.6813851103229001,0.5341513616506214,0.6110813859894576,0.0013705416569052323,2020-06-21,London,105.35444482215298,67.05212366064248
0.6967447495915361,0.5603321957939932,0.6321555525354379,0.001173580363721927,2020-06-28,London,124.62405954546189,72.51738617248206
0.7111027623064766,0.5838850202751679,0.6513497961867855,0.0010200329152033113,2020-07-05,London,144.36076977357095,77.27247647707053
0.7229338677831065,0.6076038084734466,0.6692182431588317,8.397722795133158e-4,2020-07-12,London,175.73767753965953,86.86376725979149
